Series Name,Region,Country Name,Дружественная страна?,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],Представительство McKinsey,Представительство Bain,Представительство BCG,Представительство Deloitte,Представительство PricewaterhouseCoopers,Представительство Ernst & Young,Представительство KPMG,Country Code
"Industry (including construction), value added (% of GDP)",Южная Азия,Afghanistan,Да,"13,38724696","14,05811237","14,0316991","15,58900799",..,,,,,,,,AFG
"Industry (including construction), value added (% of GDP)",,Albania,,"21,27941019","20,61965488","20,1145302","20,74698491","21,43325105",,,,,,Есть,,ALB
"Industry (including construction), value added (% of GDP)",Африка,Algeria,Да,"38,80518639","36,84388902","32,51951997","38,9425441","42,29743377",,,,,,Есть,Есть,DZA
"Industry (including construction), value added (% of GDP)",,American Samoa,,..,..,..,..,..,,,,,,,,ASM
"Industry (including construction), value added (% of GDP)",,Andorra,,"11,07633372","11,69981763","12,66015827","12,36570615","11,92156863",,,,,,,,AND
"Industry (including construction), value added (% of GDP)",,Angola,,"47,93154185","49,76092074","45,67824234","47,52258808","44,87639955",Есть,,,,,Есть,Есть,AGO
"Industry (including construction), value added (% of GDP)",,Antigua and Barbuda,,"21,1224405","21,23335669","20,44250472","20,26130916","21,30299461",,,,,,,,ATG
"Industry (including construction), value added (% of GDP)",Латинская Америка,Argentina,Да,"23,71959233","23,15784774","22,18057291","23,57947301","23,4032965",Есть,,Есть,,,Есть,Есть,ARG
"Industry (including construction), value added (% of GDP)",Закавказье,Armenia,Да,"24,75655785","24,97160846","26,8172957","26,6414047","25,56104473",,,,Есть,Есть,Есть,Есть,ARM
"Industry (including construction), value added (% of GDP)",,Aruba,,"11,35815643","11,37205393",..,..,..,,,,,,Есть,,ABW
"Industry (including construction), value added (% of GDP)",,Australia,,"24,14395689","25,31674246","25,40628279","25,52351233","27,87599754",,,,,,,,AUS
"Industry (including construction), value added (% of GDP)",,Austria,,"25,36642939","25,18385977","25,78114125","25,83396863","26,17703858",,,,,,,,AUT
"Industry (including construction), value added (% of GDP)",Закавказье,Azerbaijan,Да,"52,25053688","48,82363284","41,95632016","48,81817362","55,93614983",,,,Есть,Есть,Есть,Есть,AZE
"Industry (including construction), value added (% of GDP)",,"Bahamas, The",,"12,29373459","13,27697244","11,96256125","10,20420556","8,24197125",,,,,,Есть,Есть,BHS
"Industry (including construction), value added (% of GDP)",Ближний Восток,Bahrain,Да,"42,86055831","42,08032951","39,87192705","44,9513925","47,8868999",Есть,,,Есть,Есть,Есть,Есть,BHR
"Industry (including construction), value added (% of GDP)",,Bangladesh,,"31,98281359","32,85255263","32,91156508","33,31609439","33,9200805",,,,,,Есть,Есть,BGD
"Industry (including construction), value added (% of GDP)",,Barbados,,"12,3350023","11,95943091","12,81518901","13,4078616",..,,,,,,Есть,Есть,BRB
"Industry (including construction), value added (% of GDP)",Восточная  Европа,Belarus,Да,"31,26553303","31,73707805","31,3516474","32,14457341","33,18684879",,,,,,Есть,Есть,BLR
"Industry (including construction), value added (% of GDP)",,Belgium,,"18,93393077","19,25934886","19,48289728","19,61408188","20,72203389",,,,,,,,BEL
"Industry (including construction), value added (% of GDP)",,Belize,,"13,79087905","14,24532382","16,5113726","16,77789284","15,87174207",,,,,,,,BLZ
"Industry (including construction), value added (% of GDP)",,Benin,,"14,64195675","16,3125612","16,29054905","16,46740038","17,01771681",,,,,,,,BEN
"Industry (including construction), value added (% of GDP)",,Bermuda,,"5,701235971","6,370650363","5,634176242","5,411858794",..,,,,,,Есть,Есть,BMU
"Industry (including construction), value added (% of GDP)",,Bhutan,,"38,20346089","36,05893013","34,71449937","34,1984783",..,,,,,,,,BTN
"Industry (including construction), value added (% of GDP)",,Bolivia,,"26,24658947","25,21027455","23,49193201","26,36093241",..,,,,,,Есть,Есть,BOL
"Industry (including construction), value added (% of GDP)",Восточная  Европа,Bosnia and Herzegovina,Да,"23,71135919","23,20379231","23,77756094","24,7736087","25,21484826",,,,Есть,Есть,Есть,Есть,BIH
"Industry (including construction), value added (% of GDP)",Африка,Botswana,Да,"34,80032767","31,94710543","26,69049763","33,06300876","37,40124703",,,,,,Есть,Есть,BWA
"Industry (including construction), value added (% of GDP)",Латинская Америка,Brazil,Да,"18,74905145","18,75462758","19,5061184","20,15019916","20,69762288",Есть,,Есть,Есть,Есть,Есть,Есть,BRA
"Industry (including construction), value added (% of GDP)",,British Virgin Islands,,..,..,..,..,..,,,,,,,,VGB
"Industry (including construction), value added (% of GDP)",,Brunei Darussalam,,"63,24364516","62,5153211","59,13363024","62,70156408","67,92558548",,,,,,Есть,Есть,BRN
"Industry (including construction), value added (% of GDP)",,Bulgaria,,"22,4046812","21,6850864","21,8138157","20,84620479","25,98597663",,,,,,,,BGR
"Industry (including construction), value added (% of GDP)",,Burkina Faso,,"25,58944338","27,1474945","32,5913248","32,00902381","29,326267",,,,,,,,BFA
"Industry (including construction), value added (% of GDP)",,Burundi,,"11,10721703","10,93598","10,74295","10,59939","10,63778776",,,,,,,,BDI
"Industry (including construction), value added (% of GDP)",,Cabo Verde,,"14,62868997","14,37047968","16,73306524","18,70245575","16,80371244",,,,,,,,CPV
"Industry (including construction), value added (% of GDP)",,Cambodia,,"32,28939312","34,22605072","34,56006067","36,83478442","37,66749798",,,,,,Есть,Есть,KHM
"Industry (including construction), value added (% of GDP)",,Cameroon,,"24,68223121","23,82687805","23,03806544","24,49813794","25,48003175",,,,,,Есть,Есть,CMR
"Industry (including construction), value added (% of GDP)",,Canada,,"24,62230596","24,07740788",..,..,..,,,,,,,,CAN
"Industry (including construction), value added (% of GDP)",,Cayman Islands,,"7,414390574","7,707952982","8,148046043","8,533152121",..,,,,,,,,CYM
"Industry (including construction), value added (% of GDP)",,Central African Republic,,"20,55575596","20,51197122","20,44818877","20,16072098","19,04383597",,,,,,,,CAF
"Industry (including construction), value added (% of GDP)",,Chad,,"31,46876155","32,72909234","35,72623983","39,58541177","49,46039202",,,,,,,,TCD
"Industry (including construction), value added (% of GDP)",,Channel Islands,,"7,923707117","8,016721997","7,670194695","8,692261807",..,,,,,,,,CHI
"Industry (including construction), value added (% of GDP)",,Chile,,"27,86152277","27,20054002","29,88918967","31,34116566","31,96952421",Есть,,Есть,,,,Есть,CHL
"Industry (including construction), value added (% of GDP)",Восточная Азия,China,Да,"39,68701182","38,58740546","37,8428218","39,29077292","39,92411382",Есть,Есть,Есть,Есть,Есть,Есть,Есть,CHN
"Industry (including construction), value added (% of GDP)",,Colombia,,"26,89546675","25,99342684","23,6500017","24,85766226","26,73398656",Есть,,Есть,,,,Есть,COL
"Industry (including construction), value added (% of GDP)",,Comoros,,"8,876795865","8,531000615","8,089453236","9,267578777","9,080239623",,,,,,,,COM
"Industry (including construction), value added (% of GDP)",,"Congo, Dem. Rep.",,"43,25526011","39,65191584","41,21359589","45,34203535","48,64819111",,,,,,,Есть,COD
"Industry (including construction), value added (% of GDP)",,"Congo, Rep.",,"52,10485927","48,16991927","22,05785407","28,22036202","36,24687109",,,,,,,Есть,COG
"Industry (including construction), value added (% of GDP)",Латинская Америка,Costa Rica,Да,"19,55814326","19,23365693","20,36785113","20,97824919","20,82867648",,,Есть,,,,Есть,CRI
"Industry (including construction), value added (% of GDP)",,Cote d'Ivoire,,"19,11168189","21,67760706","21,01125455","20,84093618","21,98100708",,,,,,,Есть,CIV
"Industry (including construction), value added (% of GDP)",,Croatia,,"19,85701853","19,93040095","20,71035947","19,78745789","19,51472307",,,,,,,,HRV
"Industry (including construction), value added (% of GDP)",,Cuba,,"24,87756122","24,54944502","23,01866756","23,34743595",..,,,,,,,,CUB
"Industry (including construction), value added (% of GDP)",,Curacao,,"18,19056187","16,78119933","15,03119813","14,27748278",..,,,,,,,,CUW
"Industry (including construction), value added (% of GDP)",,Cyprus,,"12,16910929","12,95383899","12,92719943","13,11785842","13,46915546",,,,,,,,CYP
"Industry (including construction), value added (% of GDP)",,Czechia,,"31,77085441","31,53023622","30,68692941","30,26568427","30,68550416",,,,,,,,CZE
"Industry (including construction), value added (% of GDP)",,Denmark,,"20,82449329","20,70893809","19,9990648","19,32007652","20,87321982",,,,,,,,DNK
"Industry (including construction), value added (% of GDP)",,Djibouti,,"13,99160539","14,61028949","14,92922172",..,..,,,,,,,,DJI
"Industry (including construction), value added (% of GDP)",,Dominica,,"16,15015889","15,08039851","12,22950242","12,17232961","12,0893418",,,,,,,,DMA
"Industry (including construction), value added (% of GDP)",,Dominican Republic,,"28,81128478","29,07733665","30,28247171","32,66212093","33,06966487",Есть,,,,,,Есть,DOM
"Industry (including construction), value added (% of GDP)",,Ecuador,,"32,54262509","32,70232088","30,7257404","31,17354122","31,49225382",Есть,,,,,,,ECU
"Industry (including construction), value added (% of GDP)",Ближний Восток,"Egypt, Arab Rep.",Да,"35,32987506","35,82542441","32,3694443","31,18763579","32,71143143",Есть,,Есть,Есть,Есть,Есть,Есть,EGY
"Industry (including construction), value added (% of GDP)",,El Salvador,,"25,07550676","25,34814372","23,7488207","24,22159474","25,16538048",,,,,,Есть,Есть,SLV
"Industry (including construction), value added (% of GDP)",,Equatorial Guinea,,"57,29508162","52,07541004","45,43137769","51,32095438","52,58181527",,,,,,,,GNQ
"Industry (including construction), value added (% of GDP)",,Eritrea,,..,..,..,..,..,,,,,,,,ERI
"Industry (including construction), value added (% of GDP)",,Estonia,,"24,02416596","22,94932869","22,77945057","23,1064624","24,01891887",,,,,,,,EST
"Industry (including construction), value added (% of GDP)",,Eswatini,,"33,23321916","34,83307092","31,37682877","32,30488851",..,,,,,,,,SWZ
"Industry (including construction), value added (% of GDP)",Африка,Ethiopia,Да,"27,30570214","24,82236751","23,10229481","21,85002737","22,72200725",Есть,,,,,,,ETH
"Industry (including construction), value added (% of GDP)",,Faroe Islands,,"17,88793532","19,24200119","20,64008883","19,53092316",..,,,,,,,,FRO
"Industry (including construction), value added (% of GDP)",Океания,Fiji,Да,"15,53731824","15,71106659","16,87304826","16,88960446","17,63065554",,,,,,,,FJI
"Industry (including construction), value added (% of GDP)",,Finland,,"23,99619638","23,87829466","24,03649837","24,06043241","25,0919645",,,,,,,,FIN
"Industry (including construction), value added (% of GDP)",,France,,"17,18837933","17,42467597","16,4954388","16,65572381","17,38281834",,,,,,,,FRA
"Industry (including construction), value added (% of GDP)",,French Polynesia,,..,..,..,..,..,,,,,,,,PYF
"Industry (including construction), value added (% of GDP)",,Gabon,,"47,12708562","47,67886409","41,58907819","50,91876272","57,39540067",,,,,,,,GAB
"Industry (including construction), value added (% of GDP)",,"Gambia, The",,"17,3104258","17,28260083","16,85368539","17,08805344","17,26163848",,,,,,,,GMB
"Industry (including construction), value added (% of GDP)",,Georgia,,"19,91775674","20,31255863","21,17755976","21,36808381","21,54446723",,,,,,,Есть,GEO
"Industry (including construction), value added (% of GDP)",,Germany,,"27,30627405","26,95424472","26,62110218","26,73650309","26,67731216",,,,,,,,DEU
"Industry (including construction), value added (% of GDP)",,Ghana,,"31,17774403","31,107724","29,87675423","28,26450906","31,51883064",,,,,,,Есть,GHA
"Industry (including construction), value added (% of GDP)",,Gibraltar,,..,..,..,..,..,,,,,,,,GIB
"Industry (including construction), value added (% of GDP)",,Greece,,"13,62843825","13,3533528","14,97143833","15,31232053","16,80569042",,,,,,,,GRC
"Industry (including construction), value added (% of GDP)",,Greenland,,"18,21300677","17,14222827","18,34624939","16,06132551",..,,,,,,,,GRL
"Industry (including construction), value added (% of GDP)",,Grenada,,"13,43317702","13,64176034","13,09416053","14,54795551","15,14805993",,,,,,,,GRD
